target_id	length	eff_length	est_counts	tpm
col11a2	1086	901.193	145	16.7589
runx2(2of2)	837	652.193	0	0
gtf2ird2(3of3)	574	390.264	0	0
mt_nd4	1381	1196.19	4787	416.828
mt_co1	1545	1360.19	90544	6933.52
hoxb9(2of2)	827	642.257	64	10.3792
mt_nd2	1036	851.193	779	95.3243
mt_cyb	1137	952.193	3177.58	347.589
mt_nd1	975	790.193	1264	166.613
sox11(2of2)	1139	954.193	40.1557	4.38334
mt_co2	691	506.48	19392.7	3988.15
mt_nd5	1842	1657.19	2248	141.292
zmym1(14of14)	1113	928.193	0	0
sphk1(2of3)	500	318.188	5	1.63674
smdt1(2of2)	762	577.319	15	2.70626
smc6(2of2)	699	514.429	1	0.202474
sebox(2of2)	714	529.377	1	0.196757
rpl38	332	163.497	7264	4627.65
ppp1r3a(4of4)	255	100.911	68	70.1885
poln	753	568.377	3	0.549768
pla2r1(3of3)	765	580.319	4	0.717939
pde4d(3of3)	1495	1310.19	9	0.715487
pcsk7(2of2)	317	150.618	0	0
nlrc3(24of24)	662	477.579	0	0
necab1(4of4)	232	84.8399	3	3.68311
mt_nd6	519	336.593	1736	537.203
mt_nd4l	297	134.245	2810	2180.24
mt_nd3	349	178.433	481	280.778
mt_co3	784	599.319	9348	1624.63
mt_atp8	168	45.1409	81	186.9
mt_atp6	683	498.53	937	195.768
mfap4(4of4)	611	426.981	0	0
klhl38(2of2)	1450	1265.19	2	0.164652
ins	573	389.303	11	2.94306
hoxa2b	627	442.807	20	4.70447
gtf2ird2(2of3)	890	705.193	85	12.5547
fzd3(4of4)	369	196.369	13	6.89548
fgfbp1(3of3)	1392	1207.19	14	1.20794
fgf11(2of2)	483	301.749	3	1.03555
elovl4(6of6)	471	290.287	0	0
deptor(3of3)	384	209.382	0	0
cdkn1c(2of2)	213	71.8348	11	15.9497
adh5(4of4)	1537	1352.19	51	3.92849
a2ml1(4of4)	1662	1477.19	2	0.141022
glipr2(2of2)	687	502.53	78	16.1669
pax6(4of4)	1522	1337.19	58.6244	4.56645
fgf22	3384	3199.19	5	0.162789
cdk14(3of3)	461	280.864	13	4.82104
ccni2	2524	2339.19	760.32	33.8551
polq	5318	5133.19	596	12.0935
fgf12(2of2)	4868	4683.19	534.121	11.8793
vps52	3162	2977.19	642	22.4607
rps29	345	174.807	8514	5073.06
cfap46(1of2)	3396	3211.19	108.402	3.51613
sash1(2of2)	7689	7504.19	587	8.14758
pla2g1b(3of3)	2329	2144.19	2	0.097154
krt222	2245	2060.19	8.37548	0.423444
pdp1(3of3)	2695	2510.19	0	0
mtus2(2of2)	2679	2494.19	9	0.375843
mtf2(2of2)	2345	2160.19	952.355	45.9199
lin37	1710	1525.19	433	29.5704
cfap46(2of2)	2985	2800.19	141.598	5.267
phf14	3730	3545.19	1799	52.8549
chd3(2of2)	8348	8163.19	23	0.293469
slc7a3	4392	4207.19	649	16.0674
nkx1_2	988	803.193	40	5.18722
ghsr(4of4)	2292	2107.19	2	0.0988599
