target_id	length	eff_length	est_counts	tpm
col11a2	1086	933.941	221	27.188
runx2(2of2)	837	684.941	2	0.335491
gtf2ird2(3of3)	574	422.88	6	1.63019
mt_nd4	1381	1228.94	8309.02	776.825
mt_co1	1545	1392.94	24113.2	1988.96
hoxb9(2of2)	827	674.941	183	31.1523
mt_nd2	1036	883.941	3678	478.072
mt_cyb	1137	984.941	7569.05	882.949
mt_nd1	975	822.941	8281	1156.16
sox11(2of2)	1139	986.941	4	0.465665
mt_co2	691	539.068	8794.3	1874.4
mt_nd5	1842	1689.94	5490.24	373.271
zmym1(14of14)	1113	960.941	6	0.717396
sphk1(2of3)	500	350.438	1	0.327863
smdt1(2of2)	762	610.068	776	146.146
smc6(2of2)	699	547.068	9	1.89019
sebox(2of2)	714	562.068	3	0.613249
rpl38	332	195.007	4627	2726.17
ppp1r3a(4of4)	255	132.39	334	289.864
poln	753	601.068	13	2.48499
pla2r1(3of3)	765	613.068	4	0.749645
pde4d(3of3)	1495	1342.94	15	1.28333
pcsk7(2of2)	317	182.171	1	0.630703
nlrc3(24of24)	662	510.281	2	0.450324
necab1(4of4)	232	115.361	14	13.9435
mt_nd6	519	368.825	1639	510.579
mt_nd4l	297	165.532	572	397.027
mt_nd3	349	209.702	679	372.024
mt_co3	784	632.007	8481	1541.81
mt_atp8	168	70.6237	292	475.047
mt_atp6	683	531.229	3742	809.331
mfap4(4of4)	611	459.621	1	0.24998
klhl38(2of2)	1450	1297.94	12	1.06226
ins	573	421.88	7	1.9064
hoxa2b	627	475.621	39	9.42124
gtf2ird2(2of3)	890	737.941	62	9.65327
fzd3(4of4)	369	227.498	6	3.03024
fgfbp1(3of3)	1392	1239.94	17	1.57526
fgf11(2of2)	483	333.987	1	0.344012
elovl4(6of6)	471	322.482	0	0
deptor(3of3)	384	241.314	5	2.38063
cdkn1c(2of2)	213	101.703	1	1.12972
adh5(4of4)	1537	1384.94	6	0.497765
a2ml1(4of4)	1662	1509.94	9	0.684837
glipr2(2of2)	687	535.229	18	3.864
pax6(4of4)	1522	1369.94	1	0.0838692
fgf22	3384	3231.94	1	0.0355501
cdk14(3of3)	461	312.866	4	1.46894
