target_id	length	eff_length	est_counts	tpm
col11a2	1086	929.278	217	25.133
runx2(2of2)	837	680.352	7	1.10738
gtf2ird2(3of3)	574	419.462	14	3.59224
mt_nd4	1381	1224.28	8633.91	759.028
mt_co1	1545	1388.28	25281.9	1960.03
hoxb9(2of2)	827	670.352	137	21.9962
mt_nd2	1036	879.278	4198.89	513.971
mt_cyb	1137	980.278	8033.42	882.026
mt_nd1	975	818.278	8072	1061.72
sox11(2of2)	1139	982.278	9.24074	1.01252
mt_co2	691	534.751	11103.5	2234.81
mt_nd5	1842	1685.28	5285.17	337.534
zmym1(14of14)	1113	956.278	2	0.2251
sphk1(2of3)	500	347.912	0	0
smdt1(2of2)	762	605.413	752	133.689
smc6(2of2)	699	542.751	4	0.793212
sebox(2of2)	714	557.641	0	0
rpl38	332	194.051	8293	4599.66
ppp1r3a(4of4)	255	131.318	366	299.976
poln	753	596.473	34	6.13505
pla2r1(3of3)	765	608.413	3	0.530705
pde4d(3of3)	1495	1338.28	12	0.965084
pcsk7(2of2)	317	181.329	3	1.78067
nlrc3(24of24)	662	506.012	0	0
necab1(4of4)	232	113.688	19	17.9874
mt_nd6	519	366.115	2132	626.758
mt_nd4l	297	164.759	384	250.85
mt_nd3	349	208.663	745	384.273
mt_co3	784	627.352	8771	1504.76
mt_atp8	168	69.5348	236	365.292
mt_atp6	683	526.804	4526	924.688
mfap4(4of4)	611	455.585	1	0.236244
klhl38(2of2)	1450	1293.28	3	0.249666
ins	573	418.504	9	2.31459
hoxa2b	627	471.354	25	5.70852
gtf2ird2(2of3)	890	733.352	23	3.37556
fzd3(4of4)	369	226.193	7	3.3308
fgfbp1(3of3)	1392	1235.28	10	0.871296
fgf11(2of2)	483	331.733	1	0.324446
elovl4(6of6)	471	320.428	0	0
deptor(3of3)	384	239.452	2	0.898963
cdkn1c(2of2)	213	99.8917	4	4.30984
adh5(4of4)	1537	1380.28	5	0.389882
a2ml1(4of4)	1662	1505.28	5	0.357506
glipr2(2of2)	687	530.804	22	4.46086
pax6(4of4)	1522	1365.28	4	0.315333
fgf22	3384	3227.28	0	0
cdk14(3of3)	461	310.941	2	0.692282
ccni2	2524	2367.28	1713.72	77.915
polq	5318	5161.28	89	1.85594
fgf12(2of2)	4868	4711.28	235.933	5.3899
vps52	3162	3005.28	251	8.98916
rps29	345	205.123	3433	1801.32
cfap46(1of2)	3396	3239.28	157	5.21653
sash1(2of2)	7689	7532.28	474.329	6.77772
pla2g1b(3of3)	2329	2172.28	5	0.247734
krt222	2245	2088.28	10	0.515397
pdp1(3of3)	2695	2538.28	3	0.127207
mtus2(2of2)	2679	2522.28	18	0.768086
mtf2(2of2)	2345	2188.28	1022.45	50.2885
lin37	1710	1553.28	372	25.7765
cfap46(2of2)	2985	2828.28	16	0.608875
phf14	3730	3573.28	1519	45.7532
chd3(2of2)	8348	8191.28	29	0.381045
slc7a3	4392	4235.28	129	3.27822
nkx1_2	988	831.278	0	0
ghsr(4of4)	2292	2135.28	4.1249	0.207917
cdhr5(3of3)	3497	3340.28	99.4288	3.20376
kdm2a(3of3)	3877	3720.28	141.417	4.09125
fgf20(2of2)	1818	1661.28	11	0.712657
fgf4	924	767.278	2	0.280548
cdh23(2of3)	6397	6240.28	32	0.55192
cdh23(3of3)	5108	4951.28	21	0.456491
ppp2r2b	3395	3238.28	185	6.14876
kdm6b(2of2)	8093	7936.28	1627	22.0648
sphk1(3of3)	4203	4046.28	156.302	4.15755
sirt1	2233	2076.28	5	0.259188
fgf3	1999	1842.28	12	0.701062
rps11	604	448.721	10150	2434.56
myo19	3063	2906.28	10	0.370334
fgf17	720	563.529	24	4.58379
rpl13	948	791.278	22630	3078.12
lect1(2of2)	1771	1614.28	2	0.133347
rnaseh2a(1of2)	879	722.352	35	5.21494
rnaseh2a(2of2)	1087	930.278	163.356	18.8996
rpl32	525	371.781	17789	5149.86
creb1(5of5)	1396	1239.28	30	2.60545
prkab1(2of2)	1730	1573.28	856	58.5597
