target_id	length	eff_length	est_counts	tpm
col11a2	1086	865.701	165	12.8223
runx2(2of2)	837	616.828	3	0.327195
gtf2ird2(3of3)	574	356.421	0	0
mt_nd4	1381	1160.7	1318	76.3916
mt_co1	1545	1324.7	42825	2174.85
hoxb9(2of2)	827	606.828	94	10.4211
mt_nd2	1036	815.701	90	7.4227
mt_cyb	1137	916.701	893	65.5351
mt_nd1	975	754.701	125	11.1426
sox11(2of2)	1139	918.701	17	1.24487
mt_co2	691	471.461	8873.98	1266.26
mt_nd5	1842	1621.7	544	22.5672
zmym1(14of14)	1113	892.701	0	0
sphk1(2of3)	500	284.583	9	2.12757
smdt1(2of2)	762	542.115	156	19.359
smc6(2of2)	699	479.366	0	0
sebox(2of2)	714	494.269	0	0
rpl38	332	134.358	5745	2876.59
ppp1r3a(4of4)	255	77.3936	429	372.909
poln	753	533.115	0	0
pla2r1(3of3)	765	545.115	0	0
pde4d(3of3)	1495	1274.7	34	1.79441
pcsk7(2of2)	317	122.602	0	0
nlrc3(24of24)	662	442.87	0	0
necab1(4of4)	232	62.5045	6	6.45788
mt_nd6	519	303.048	536	118.988
mt_nd4l	297	107.01	942	592.21
mt_nd3	349	148.326	60	27.2135
mt_co3	784	564.004	3055	364.401
mt_atp8	168	30.6456	3	6.58571
mt_atp6	683	463.555	184	26.7034
mfap4(4of4)	611	392.666	0	0
klhl38(2of2)	1450	1229.7	82	4.48606
ins	573	355.456	16	3.0282
hoxa2b	627	408.466	42	6.91741
gtf2ird2(2of3)	890	669.701	80	8.03636
fzd3(4of4)	369	165.061	14	5.70604
fgfbp1(3of3)	1392	1171.7	10	0.574161
fgf11(2of2)	483	268.59	0	0
elovl4(6of6)	471	257.285	0	0
deptor(3of3)	384	178.112	0	0
cdkn1c(2of2)	213	51.5328	12	15.6656
adh5(4of4)	1537	1316.7	9	0.459839
a2ml1(4of4)	1662	1441.7	0	0
glipr2(2of2)	687	467.508	42	6.0438
pax6(4of4)	1522	1301.7	3	0.155046
fgf22	3384	3163.7	0	0
cdk14(3of3)	461	247.953	3	0.813959
ccni2	2524	2303.7	1044.51	30.5025
polq	5318	5097.7	113	1.49126
fgf12(2of2)	4868	4647.7	410.685	5.94457
vps52	3162	2941.7	880	20.1249
rps29	345	144.997	16678	7738.1
cfap46(1of2)	3396	3175.7	42.3597	0.897354
sash1(2of2)	7689	7468.7	482.006	4.34168
