target_id	length	eff_length	est_counts	tpm
col11a2	1086	922.591	122.485	15.0131
runx2(2of2)	837	673.591	0	0
gtf2ird2(3of3)	574	412.56	4	1.0964
mt_nd4	1381	1217.59	9238.61	858.026
mt_co1	1545	1381.59	30054.5	2459.94
hoxb9(2of2)	827	663.591	389	66.2894
mt_nd2	1036	872.591	3612.9	468.21
mt_cyb	1137	973.591	9597.17	1114.71
mt_nd1	975	811.591	10787	1503
sox11(2of2)	1139	975.591	12	1.39094
mt_co2	691	528.101	9177.12	1965.1
mt_nd5	1842	1678.59	5895.22	397.146
zmym1(14of14)	1113	949.591	1	0.119085
sphk1(2of3)	500	341.11	0	0
smdt1(2of2)	762	598.714	875	165.266
smc6(2of2)	699	536.047	1	0.210956
sebox(2of2)	714	550.939	0	0
rpl38	332	189.929	6280	3739.08
ppp1r3a(4of4)	255	127.866	544	481.104
poln	753	589.714	16	3.06813
pla2r1(3of3)	765	601.714	6	1.1276
pde4d(3of3)	1495	1331.59	12	1.01907
pcsk7(2of2)	317	177.26	1	0.637948
nlrc3(24of24)	662	499.406	0	0
necab1(4of4)	232	110.89	10	10.1978
mt_nd6	519	359.374	1242	390.813
mt_nd4l	297	161.048	566	397.426
mt_nd3	349	204.268	433	239.709
mt_co3	784	620.654	10204	1859.16
mt_atp8	168	67.9054	271	451.294
mt_atp6	683	520.205	3789	823.654
mfap4(4of4)	611	448.788	0	0
klhl38(2of2)	1450	1286.59	5	0.439465
ins	573	411.56	15	4.12148
hoxa2b	627	464.742	27	6.56972
gtf2ird2(2of3)	890	726.591	36	5.60283
fzd3(4of4)	369	221.916	12	6.11488
fgfbp1(3of3)	1392	1228.59	22	2.02493
fgf11(2of2)	483	325.155	0	0
elovl4(6of6)	471	313.708	1	0.360471
deptor(3of3)	384	235.307	5	2.40287
cdkn1c(2of2)	213	97.1602	0	0
adh5(4of4)	1537	1373.59	10	0.823261
a2ml1(4of4)	1662	1498.59	1	0.0754592
glipr2(2of2)	687	524.101	36	7.76753
pax6(4of4)	1522	1358.59	7	0.582646
fgf22	3384	3220.59	0	0
cdk14(3of3)	461	304.555	2	0.742609
ccni2	2524	2360.59	1166.86	55.8977
polq	5318	5154.59	110	2.4132
fgf12(2of2)	4868	4704.59	109.285	2.62685
vps52	3162	2998.59	199	7.50466
rps29	345	200.873	2410	1356.72
cfap46(1of2)	3396	3232.59	122	4.2678
sash1(2of2)	7689	7525.59	380.964	5.7245
pla2g1b(3of3)	2329	2165.59	3	0.156653
krt222	2245	2081.59	4.23106	0.229852
pdp1(3of3)	2695	2531.59	5	0.223343
mtus2(2of2)	2679	2515.59	10	0.449526
mtf2(2of2)	2345	2181.59	1092.4	56.6246
lin37	1710	1546.59	613	44.8209
cfap46(2of2)	2985	2821.59	29	1.16225
phf14	3730	3566.59	1081	34.2742
chd3(2of2)	8348	8184.59	23	0.31778
slc7a3	4392	4228.59	101	2.70098
nkx1_2	988	824.591	0	0
ghsr(4of4)	2292	2128.59	1.04184	0.0553481
cdhr5(3of3)	3497	3333.59	43.3734	1.47132
kdm2a(3of3)	3877	3713.59	138.219	4.20889
fgf20(2of2)	1818	1654.59	14	0.956825
fgf4	924	760.591	3	0.446031
cdh23(2of3)	6397	6233.59	18	0.326535
cdh23(3of3)	5108	4944.59	6	0.13722
ppp2r2b	3395	3231.59	233	8.15332
kdm6b(2of2)	8093	7929.59	860	12.2643
sphk1(3of3)	4203	4039.59	98.7843	2.76532
sirt1	2233	2069.59	22	1.20208
fgf3	1999	1835.59	17	1.04729
rps11	604	441.877	7244	1853.84
myo19	3063	2899.59	7	0.272996
fgf17	720	556.883	75	15.2297
rpl13	948	784.591	14860	2141.76
lect1(2of2)	1771	1607.59	0	0
rnaseh2a(1of2)	879	715.591	85	13.4323
rnaseh2a(2of2)	1087	923.591	178.311	21.832
rpl32	525	365.156	14907	4616.44
creb1(5of5)	1396	1232.59	29	2.66057
prkab1(2of2)	1730	1566.59	1648	118.959
slc1a2(3of3)	3930	3766.59	2	0.060045
gabrb3(3of3)	1853	1689.59	1	0.0669289
c12orf65	699	536.047	251	52.95
setd1b(3of3)	7551	7387.59	204.573	3.13141
prdm2(2of2)	6595	6431.59	589.115	10.358
hoxa7	996	832.591	477.756	64.8888
trpc7(1of2)	3233	3069.59	13	0.478914
